title,link
Prime Minister’s remarks at Shanghai Cooperation Organisation (SCO) Summit 2020,https://www.narendramodi.in/prime-minister-s-remarks-at-shanghai-cooperation-organisation-sco-summit-2020
All-round development in Varanasi is benefiting the entire eastern India: PM Modi,https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-address-at-foundation-stone-laying-ceremony-of-various-development-projects-in-varanasi
Ro-Pax service will decrease transportation costs and enhance ease of doing business: PM Modi,https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-address-at-inauguration-of-ro-pax-terminal-at-hazira
"India is committed to provide 'ease of doing business' to its youth, so they can focus on bringing ‘ease of living’ to the countrymen: PM",https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-address-at-the-convocation-ceremony-of-iit-delhi
Address by the Prime Minister at the India-Italy Virtual Bilateral Summit,https://www.narendramodi.in/address-by-the-prime-minister-at-the-india-italy-virtual-bilateral-summit
"If you want returns with reliability, India is the place to be: PM Modi",https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-address-at-the-virtual-global-investor-roundtable
Proponents of 'jungle raj' do not want people of Bihar to chant 'Bharat Mata Ki Jai': PM Modi,https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-address-at-public-meeting-in-saharsa
The voters in Bihar have rejected jungle raj and double-double Yuvraaj: PM Modi,https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-address-at-public-meeting-in-araria
People of Bihar have decided that there will be no entry for Jungle Raj: PM Modi,https://www.narendramodi.in/text-of-pm-modi-s-speech-at-public-meeting-in-bagaha-bihar
"On one side, NDA is committed to democracy, and on the other side is 'parivar tantra gathbandhan': PM",https://www.narendramodi.in/text-s-of-prime-minister-narendra-modi-s-speech-at-public-meeting-in-samastipur
Jungle Raj made sure all the industries and sugar mills which were the hallmark of Bihar were shut down: PM,https://www.narendramodi.in/text-s-of-prime-minister-narendra-modi-s-speech-at-public-meeting-in-motihari-bihar
"NDA will defeat ""double-double yuvraj"" in Bihar: PM Modi",https://www.narendramodi.in/text-s-of-pm-modi-s-speech-at-public-meeting-in-chhapra
Serving the citizens of the country is the highest duty of a civil servant: PM,https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-interaction-with-civil-services-probationers-at-aarambh-2020
130 crore Indians working for a strong Aatmanirbhar Bharat: PM Modi,https://www.narendramodi.in/text-of-pm-s-address-at-rashtriya-ekta-diwas-parade-in-kevadia-gujarat
Keshubhai Patel's ideals of 'Rashtrabhakti' & 'Jan Bhakti' will inspire generations: PM Modi,https://www.narendramodi.in/text-of-prime-minister-narendra-modis-message-on-the-demise-of-shri-keshubhai-patel
"To save Bihar and make it a better state, vote for NDA: PM Modi in Patna",https://www.narendramodi.in/text-s-of-pm-modi-s-speech-at-public-meeting-in-patna
Bihar will face double whammy if proponents of 'jungle raj' return to power during pandemic: PM Modi in Muzzafarpur,https://www.narendramodi.in/text-s-of-pm-modi-s-speech-at-public-meeting-in-muzaffarpur
'Aatmanirbhar Bihar' is the next vision in development of Bihar: PM Modi in Darbhanga,https://www.narendramodi.in/text-of-pm-modi-s-speech-at-public-meeting-in-darbhanga
PM’s inaugural address at the National Conference on Vigilance and Anti-Corruption,https://www.narendramodi.in/prime-minister-narendra-modis-inaugural-address-at-the-national-conference-on-vigilance-and-anti-corruption
For the first time since independence street vendors are getting affordable loans: PM,https://www.narendramodi.in/text-of-pm-s-address-at-the-interaction-with-pm-svanidhi-scheme-beneficiaries-of-uttar-pradesh
India's energy plan aims to ensure energy justice: PM Modi,https://www.narendramodi.in/prime-minister-narendra-modis-address-at-the-inauguration-of-india-energy-forum
Kisan Suryodaya Yojana will be a new dawn for farmers in Gujarat: PM Modi,https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-address-at-the-inauguration-of-three-key-projects-in-gujarat-via-video-conferencing
Time of 'lantern' is gone now: PM Modi in Bhagalpur,https://www.narendramodi.in/text-of-pm-modi-s-speech-at-public-rally-in-bhagalpur-bihar
"Mandi and MSP are excuses, the opposition wants to save the brokers and middlemen: PM Modi in Gaya",https://www.narendramodi.in/text-of-pm-modi-s-speech-at-public-rally-in-gaya-bihar
Voters of Bihar have taken a resolve that they won't let those who have a history of making the state 'Bimaru' come near them: PM Modi in Sasaram,https://www.narendramodi.in/text-of-pm-modi-s-speech-at-public-meeting-in-sasaram-bihar
West Bengal will play a significant role in ‘Purvodaya’: PM Modi,https://www.narendramodi.in/text-of-pm-modi-s-speech-at-inauguration-of-durga-puja-pandal-in-west-bengal
"Till there’s a vaccine, we cannot weaken our fight against Coronavirus: PM Modi",https://www.narendramodi.in/prime-minister-narendra-modis-address-to-the-nation
The future will be shaped by societies that invest in science and innovation: PM Modi,https://www.narendramodi.in/text-of-pm-s-keynote-address-at-grand-challenges-annual-meeting-2020
"Skilling, re-skilling and upskilling is the need of the hour: PM Modi",https://www.narendramodi.in/text-of-pm-s-address-at-the-centenary-convocation-of-university-of-mysore-via-video-conferencing
"Once farmers of India become strong & their incomes increase, the mission against malnutrition will also garner strength: PM Modi",https://www.narendramodi.in/text-of-pm-s-address-at-the-release-of-commemorative-coin-to-mark-75-years-of-food-and-agriculture-organisation
"Balasaheb Vikhe Patil Ji's work for the progress of poor, efforts towards education in Maharashtra will inspire generations to come: PM",https://www.narendramodi.in/text-of-pm-s-address-at-the-release-of-autobiography-of-dr-balasaheb-vikhe-patil
"For Rajmata Scindia, public service was above everything else: PM Modi",https://www.narendramodi.in/text-of-prime-minister-narendra-modi-s-address-at-the-release-of-coin-to-commemorate-birth-centenary-of-rajmata-vijaya-raje-scindia
